Algorithm,Repetition,Iteration,Selected_Modules,Expected_Minimum
smallest,2,59,32_33_31_34_2_3_4_30,53.598483
smallest,2,60,32_33_31_34_2_3_4_38,54.300907
smallest,2,61,32_33_31_2_34_3_4_1,53.746028
smallest,2,62,32_33_31_34_2_3_30_18,53.733280
smallest,2,63,32_33_31_34_2_3_30_4,53.605690
smallest,2,64,32_33_31_34_2_3_30_4,53.590777
smallest,2,65,32_33_31_34_2_3_30_4,53.625115
smallest,2,66,32_33_31_34_2_3_30_1,53.243172
smallest,2,67,32_33_31_34_2_3_30_1,53.262451
smallest,2,68,32_33_31_34_2_30_3_13,53.707292
smallest,2,69,32_31_33_34_30_2_3_1,53.268564
smallest,2,70,32_31_33_30_2_34_3_1,53.258626
smallest,2,71,32_31_33_30_2_34_3_1,53.260524
smallest,2,72,32_31_33_30_2_34_3_1,53.248943
smallest,2,73,32_31_33_30_2_34_3_29,53.671957
smallest,2,74,32_31_33_30_2_34_3_1,53.223452
smallest,2,75,32_31_33_30_2_34_3_39,53.704941
smallest,2,76,32_31_33_30_34_2_3_4,53.613657
smallest,2,77,32_31_33_34_30_2_3_4,53.631511
smallest,2,78,32_31_33_34_2_3_30_4,53.634815
smallest,2,79,32_33_31_34_2_3_30_4,53.595816
smallest,2,80,32_33_31_34_2_3_30_4,53.594087
smallest,2,81,32_31_33_34_30_2_3_5,53.716934
smallest,2,82,32_31_33_34_30_2_3_4,53.629209
smallest,2,83,32_31_33_30_34_2_3_15,53.732692
smallest,2,84,32_31_33_30_34_2_3_17,53.728311
smallest,2,85,32_31_33_30_34_2_3_4,53.618902
smallest,2,86,32_31_33_30_34_2_3_4,53.629946
smallest,2,87,32_31_33_30_34_2_3_6,53.739515
smallest,2,88,32_31_33_30_34_2_3_12,53.639320
smallest,2,89,32_31_33_30_34_2_3_1,53.228532
smallest,2,90,32_31_33_30_34_2_3_29,53.686515
smallest,2,91,32_31_33_30_34_2_3_1,53.232736
smallest,2,92,32_31_33_30_34_2_3_1,53.249391
smallest,2,93,32_31_33_34_30_2_3_1,53.227485
smallest,2,94,32_31_33_34_2_30_3_1,53.244945
smallest,2,95,32_31_33_2_34_30_3_1,53.239971
smallest,2,96,32_31_33_2_34_3_30_1,53.248060
smallest,2,97,32_31_33_2_34_30_3_1,53.242822
smallest,2,98,32_31_33_2_3_34_30_1,53.252251
smallest,2,99,32_31_33_2_34_3_30_1,53.274531
smallest,2,100,32_31_33_2_3_34_30_1,53.214832
smallest,2,101,32_31_33_2_3_30_34_1,53.242535
smallest,2,102,32_31_33_2_3_34_30_1,53.255215
smallest,2,103,32_31_33_2_3_34_1_30,53.243871
smallest,2,104,32_31_33_2_30_3_34_1,53.235040
smallest,2,105,32_31_33_2_30_3_34_1,53.238282
smallest,2,106,32_31_33_2_3_30_34_38,53.726400
smallest,2,107,32_31_33_2_30_3_34_46,53.742950
smallest,2,108,32_31_33_2_3_30_34_18,53.745322
smallest,2,109,32_31_33_2_3_30_34_1,53.236865
smallest,2,110,32_31_33_2_3_30_34_4,53.598282
smallest,2,111,32_31_33_2_3_30_34_1,53.257464
smallest,2,112,32_31_33_2_3_34_30_4,53.603460
smallest,2,113,32_31_33_2_3_34_30_4,53.614238
smallest,2,114,32_31_33_2_3_34_30_49,53.715897
smallest,2,115,32_31_33_2_3_34_30_1,53.228938
smallest,2,116,32_31_33_2_3_34_30_1,53.241843
smallest,2,117,32_31_33_2_3_34_30_1,53.239288
smallest,2,118,32_31_33_2_3_34_30_1,53.255511
smallest,2,119,32_31_33_2_3_34_30_1,53.218715
smallest,2,120,32_31_33_2_3_34_30_1,53.231123
smallest,2,121,32_31_33_2_3_30_34_1,53.257742
smallest,2,122,32_31_33_2_3_30_34_1,53.260343
smallest,2,123,32_31_33_2_3_30_34_1,53.268170
smallest,2,124,32_31_33_2_3_30_34_1,53.244458
smallest,2,125,32_31_33_2_3_30_34_1,53.238995
smallest,2,126,32_31_33_2_3_30_34_1,53.254202
smallest,2,127,32_31_33_2_3_30_34_1,53.255227
smallest,2,128,32_31_33_2_3_30_34_4,53.596063
smallest,2,129,32_31_33_2_3_30_34_4,53.604164
smallest,2,130,32_31_33_2_3_30_34_1,53.236956
smallest,2,131,32_31_33_2_3_30_34_1,53.246213
smallest,2,132,32_31_33_2_3_30_34_1,53.235840
smallest,2,133,32_31_33_2_3_30_34_1,53.227027
smallest,2,134,32_31_33_2_3_30_1_34,53.244852
smallest,2,135,32_31_33_2_3_30_1_34,53.255409
smallest,2,136,32_31_33_2_3_30_1_34,53.248099
smallest,2,137,32_31_33_2_3_30_1_34,53.229176
smallest,2,138,32_31_33_2_3_30_1_34,53.252638
smallest,2,139,32_31_33_2_30_3_1_34,53.233696
smallest,2,140,32_31_33_2_3_30_1_34,53.254897
smallest,2,141,32_31_33_2_3_30_1_34,53.245359
smallest,2,142,32_31_33_2_30_3_34_1,53.215536
smallest,2,143,32_31_33_2_30_3_34_1,53.252664
